상품 ID	상품명 	상품 가격 	모바일 상품 가격 	정가 	상품 URL 	상품 모바일 URL	이미지 URL 	추가 이미지 URL	제휴사 카테고리명(대분류)	제휴사 카테고리명(중분류)	제휴사 카테고리명(소분류)	제휴사 카테고리명(세분류)	네이버 카테고리	가격비교 페이지 ID	상품상태	해외구매대행 여부	병행수입 여부	주문제작상품 여부	판매방식 구분	미성년자 구매불가 상품 여부	상품 구분	바코드	제품코드	모델명	브랜드	제조사	원산지	카드명/카드할인가격	이벤트	일반/제휴쿠폰	쿠폰다운로드필요 여부	카드 무이자 할부 정보	포인트	별도 설치비 유무	사전매칭코드	검색태그	Group ID	제휴사 상품 ID	코디상품ID	최소구매수량	상품평(리뷰,구매평) 개수	배송료	차등배송비 여부	차등배송비 내용	상품속성	구매옵션	셀러 ID (오픈마켓에 한함)	주 이용 고객층	성별	배송부가정보	
G1807201637_0011	다비치안경	20000	20000	35000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807201637_0011	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807201637_0011	/image/image-view?type=GOODSDTL&id1=20180720_6700b43ab72307f2758202e90f106feba9bdb29b02de611df3616cda571e87c3_110x110x01	/image/image-view?type=GOODSDTL&id1=20180720_6700b43ab72307f2758202e90f106feba9bdb29b02de611df3616cda571e87c3_735x645x02	아이웨어	안경테	모양별				신상품	N	N	N		N					에실로	다비치	대한민국							N		다비치|비비엠					0						2				
G1807301056_0166	가벼운 남자 여자 베타티타늄 안경테 [다비치안경 다온]_F510 (10종 6컬러)	49000	49000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807301056_0166	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807301056_0166	/image/image-view?type=GOODSDTL&id1=20180730_0cb2037b782cb972ec6f786c1f415b21f5e619f9fff736df1183e06fe450a189_110x110x01	/image/image-view?type=GOODSDTL&id1=20180730_0cb2037b782cb972ec6f786c1f415b21f5e619f9fff736df1183e06fe450a189_735x645x02	아이웨어	안경테	브랜드	DAON			신상품	N	N	N		N					DAON									N							0										
G1807311653_0387	GAN 02 C2 BM/미러선글라스 / 보잉선글라스 / 하우스브랜드 	140000	140000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807311653_0387	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807311653_0387	/image/image-view?type=GOODSDTL&id1=20180731_bb49a9c17584fd840cdc29ebf90649d1d2a2a5efa3d4d7af5bbbc53dfb3bdab4_110x110x01	/image/image-view?type=GOODSDTL&id1=20180731_bb49a9c17584fd840cdc29ebf90649d1d2a2a5efa3d4d7af5bbbc53dfb3bdab4_735x645x02	아이웨어	선글라스	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0						1				
G1807311655_0388	[비비엠]RONT OP 01 C4_론트 오피 01 C4	160000	160000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807311655_0388	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807311655_0388	/image/image-view?type=GOODSDTL&id1=20180731_800bb7ac840c538af0005f33b83e9b9179477a362e2ca1940abee46ef0ad4963_110x110x01	/image/image-view?type=GOODSDTL&id1=20180731_800bb7ac840c538af0005f33b83e9b9179477a362e2ca1940abee46ef0ad4963_735x645x02	아이웨어	안경테	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0										
G1808011354_0436	[비비엠]PESTALO MOUNTAIN C1_페스탈로 마운틴 C1	165000	165000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1808011354_0436	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1808011354_0436	/image/image-view?type=GOODSDTL&id1=20180801_26f3838d504dd46df5d4112ea93a8b6f4aef8a87b91e2d6545483fb110048984_110x110x01	/image/image-view?type=GOODSDTL&id1=20180801_26f3838d504dd46df5d4112ea93a8b6f4aef8a87b91e2d6545483fb110048984_735x645x02	아이웨어	안경테	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0										
G1808011355_0438	[비비엠] TERE01 C3_테레01 C3 선글라스	130000	130000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1808011355_0438	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1808011355_0438	/image/image-view?type=GOODSDTL&id1=20180801_044b3e9d5c499b69c6dd42456b518df4b832f95a1b8f2d02d6b6d47673acf894_110x110x01	/image/image-view?type=GOODSDTL&id1=20180801_044b3e9d5c499b69c6dd42456b518df4b832f95a1b8f2d02d6b6d47673acf894_735x645x02	아이웨어	선글라스	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0						1				
G1808011458_0445	[비비엠]HIPPO MOUNTAIN C4_히포 마운틴 C4	115000	115000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1808011458_0445	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1808011458_0445	/image/image-view?type=GOODSDTL&id1=20180801_f8d122028c6a058d807446fd6c57a10e6f771e5112cdce843ea9817376cbff48_110x110x01	/image/image-view?type=GOODSDTL&id1=20180801_f8d122028c6a058d807446fd6c57a10e6f771e5112cdce843ea9817376cbff48_735x645x02	아이웨어	안경테	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0										
G1808011511_0449	[비비엠] TERE01 C4_테리01 C4 	130000	130000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1808011511_0449	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1808011511_0449	/image/image-view?type=GOODSDTL&id1=20180801_6e4b72f0f09433bd34d1b7b2f82b1d0f4635b0cb01feddab97223e0b623bbefb_110x110x01	/image/image-view?type=GOODSDTL&id1=20180801_6e4b72f0f09433bd34d1b7b2f82b1d0f4635b0cb01feddab97223e0b623bbefb_735x645x02	아이웨어	선글라스	브랜드	bibiem			신상품	N	N	N		N					bibiem									N							0						1				
G1807271711_0136	가벼운 남자 여자 베타티타늄 안경테 [다비치안경 다온]_F505 (10종 6컬러)	49000	49000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807271711_0136	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807271711_0136	/image/image-view?type=GOODSDTL&id1=20180727_8d4ee636c521c1d3ab3647dce9b083d62b2bcccb60e921e4deebfc5638a74dff_110x110x01	/image/image-view?type=GOODSDTL&id1=20180727_8d4ee636c521c1d3ab3647dce9b083d62b2bcccb60e921e4deebfc5638a74dff_735x645x02	아이웨어	안경테	브랜드	DAON			신상품	N	N	N		N					DAON									N							1						4				
G1807271731_0141	가벼운 남자 여자 베타티타늄 안경테 [다비치안경 다온]_F506 (10종 6컬러)	49000	49000	49000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1807271731_0141	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1807271731_0141	/image/image-view?type=GOODSDTL&id1=20180727_0304b8dd3ac157807909790f5a599aeeea9c95adb128d60eee69f02ec4a6f0e3_110x110x01	/image/image-view?type=GOODSDTL&id1=20180727_0304b8dd3ac157807909790f5a599aeeea9c95adb128d60eee69f02ec4a6f0e3_735x645x02	아이웨어	안경테	브랜드	DAON			신상품	N	N	N		N					DAON									N							1						1				
